# clang-format violation report
# clang-format version: clang-format version 21.1.6
# date: 2026-02-07T11:59:26Z
# config: /home/sean/code/ponylang/ponyc/.clang-format
#
# violations file
32 src/common/dtrace.h
26 src/common/llvm_config_begin.h
1 src/common/llvm_config_end.h
13 src/common/paths.h
154 src/common/platform.h
7 src/common/ponyassert.h
213 src/common/pony/detail/atomics.h
22 src/common/threads.h
2 src/common/vcvars.h
48 src/libponyc/ast/astbuild.h
459 src/libponyc/ast/ast.c
77 src/libponyc/ast/ast.h
302 src/libponyc/ast/bnfprint.c
0 src/libponyc/ast/bnfprint.h
18 src/libponyc/ast/error.c
8 src/libponyc/ast/error.h
241 src/libponyc/ast/frame.c
0 src/libponyc/ast/frame.h
30 src/libponyc/ast/id.c
1 src/libponyc/ast/id.h
8 src/libponyc/ast/id_internal.h
701 src/libponyc/ast/lexer.c
2 src/libponyc/ast/lexer.h
46 src/libponyc/ast/lexint.c
0 src/libponyc/ast/lexint.h
23 src/libponyc/ast/parserapi.c
197 src/libponyc/ast/parserapi.h
800 src/libponyc/ast/parser.c
0 src/libponyc/ast/parser.h
1 src/libponyc/ast/printbuf.c
1 src/libponyc/ast/printbuf.h
28 src/libponyc/ast/source.c
2 src/libponyc/ast/source.h
60 src/libponyc/ast/stringtab.c
1 src/libponyc/ast/stringtab.h
73 src/libponyc/ast/symtab.c
6 src/libponyc/ast/symtab.h
153 src/libponyc/ast/token.c
27 src/libponyc/ast/token.h
63 src/libponyc/ast/treecheck.c
313 src/libponyc/ast/treecheckdef.h
0 src/libponyc/ast/treecheck.h
161 src/libponyc/codegen/codegen.c
17 src/libponyc/codegen/codegen.h
4 src/libponyc/codegen/genbox.c
1 src/libponyc/codegen/genbox.h
289 src/libponyc/codegen/gencall.c
12 src/libponyc/codegen/gencall.h
96 src/libponyc/codegen/gencontrol.c
4 src/libponyc/codegen/gencontrol.h
46 src/libponyc/codegen/gendebug.cc
33 src/libponyc/codegen/gendebug.h
73 src/libponyc/codegen/gendesc.c
7 src/libponyc/codegen/gendesc.h
79 src/libponyc/codegen/genexe.c
1 src/libponyc/codegen/genexe.h
202 src/libponyc/codegen/genexpr.c
3 src/libponyc/codegen/genexpr.h
200 src/libponyc/codegen/genfun.c
5 src/libponyc/codegen/genfun.h
37 src/libponyc/codegen/genheader.c
1 src/libponyc/codegen/genheader.h
214 src/libponyc/codegen/genident.c
1 src/libponyc/codegen/genident.h
179 src/libponyc/codegen/genmatch.c
1 src/libponyc/codegen/genmatch.h
43 src/libponyc/codegen/genname.c
1 src/libponyc/codegen/genname.h
8 src/libponyc/codegen/genobj.c
1 src/libponyc/codegen/genobj.h
199 src/libponyc/codegen/genoperator.c
5 src/libponyc/codegen/genoperator.h
258 src/libponyc/codegen/genopt.cc
1 src/libponyc/codegen/genopt.h
234 src/libponyc/codegen/genprim.c
1 src/libponyc/codegen/genprim.h
90 src/libponyc/codegen/genreference.c
1 src/libponyc/codegen/genreference.h
208 src/libponyc/codegen/genserialise.c
3 src/libponyc/codegen/genserialise.h
475 src/libponyc/codegen/gentrace.c
1 src/libponyc/codegen/gentrace.h
263 src/libponyc/codegen/gentype.c
3 src/libponyc/codegen/gentype.h
16 src/libponyc/codegen/host.cc
162 src/libponyc/expr/array.c
1 src/libponyc/expr/array.h
212 src/libponyc/expr/call.c
1 src/libponyc/expr/call.h
67 src/libponyc/expr/control.c
1 src/libponyc/expr/control.h
19 src/libponyc/expr/ffi.c
1 src/libponyc/expr/ffi.h
211 src/libponyc/expr/lambda.c
1 src/libponyc/expr/lambda.h
263 src/libponyc/expr/literal.c
1 src/libponyc/expr/literal.h
179 src/libponyc/expr/match.c
1 src/libponyc/expr/match.h
306 src/libponyc/expr/operator.c
1 src/libponyc/expr/operator.h
295 src/libponyc/expr/postfix.c
1 src/libponyc/expr/postfix.h
357 src/libponyc/expr/reference.c
1 src/libponyc/expr/reference.h
1299 src/libponyc/logo.h
